principal_diagnosis,state,value
"S00–T98  Injury, poisoning and certain other consequences of external causes",WA,258590.0
"U07.1, U07.2, and U07.7  Emergency use of codes U07.1, U07.2 and U07.7",WA,3983.0
U50–Y98  External causes of morbidity and mortality,WA,1469.0
Z00–Z99  Factors influencing health status and contact with health services,WA,37486.0
Not stated/invalid,WA,74724.0
A00–B99  Certain infectious and parasitic diseases,SA,27069.0
C00–D48  Neoplasms,SA,1834.0
D50–D89  Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,SA,3350.0
"E00–E90  Endocrine, nutritional and metabolic diseases",SA,6755.0
F00–F99  Mental and behavioural disorders,SA,24860.0
G00–G99  Diseases of the nervous system,SA,9464.0
H00–H59  Diseases of the eye and adnexa,SA,5118.0
H60–H95  Diseases of the ear and mastoid process,SA,6264.0
I00–I99  Diseases of the circulatory system,SA,25148.0
J00–J99  Diseases of the respiratory system,SA,51825.0
K00–K93  Diseases of the digestive system,SA,35584.0
L00–L99  Diseases of the skin and subcutaneous tissue,SA,19368.0
M00–M99  Diseases of the musculoskeletal system and connective tissue,SA,25761.0
N00–N99  Diseases of the genitourinary system,SA,23949.0
"O00–O99  Pregnancy, childbirth and the puerperium",SA,7864.0
P00–P96  Certain conditions originating in the perinatal period,SA,779.0
"Q00–Q99  Congenital malformations, deformations and chromosomal abnormalities",SA,50.0
"R00–R99  Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",SA,198764.0
"S00–T98  Injury, poisoning and certain other consequences of external causes",SA,138398.0
"U07.1, U07.2, and U07.7  Emergency use of codes U07.1, U07.2 and U07.7",SA,124.0
U50–Y98  External causes of morbidity and mortality,SA,0.0
Z00–Z99  Factors influencing health status and contact with health services,SA,10535.0
Not stated/invalid,SA,13.0
A00–B99  Certain infectious and parasitic diseases,Tas,7163.0
C00–D48  Neoplasms,Tas,762.0
D50–D89  Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Tas,900.0
"E00–E90  Endocrine, nutritional and metabolic diseases",Tas,2163.0
F00–F99  Mental and behavioural disorders,Tas,6386.0
G00–G99  Diseases of the nervous system,Tas,4066.0
H00–H59  Diseases of the eye and adnexa,Tas,1355.0
H60–H95  Diseases of the ear and mastoid process,Tas,1498.0
I00–I99  Diseases of the circulatory system,Tas,7959.0
J00–J99  Diseases of the respiratory system,Tas,12559.0
K00–K93  Diseases of the digestive system,Tas,11053.0
L00–L99  Diseases of the skin and subcutaneous tissue,Tas,5033.0
M00–M99  Diseases of the musculoskeletal system and connective tissue,Tas,8873.0
N00–N99  Diseases of the genitourinary system,Tas,7408.0
"O00–O99  Pregnancy, childbirth and the puerperium",Tas,1269.0
P00–P96  Certain conditions originating in the perinatal period,Tas,183.0
"Q00–Q99  Congenital malformations, deformations and chromosomal abnormalities",Tas,9.0
"R00–R99  Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Tas,46578.0
"S00–T98  Injury, poisoning and certain other consequences of external causes",Tas,42665.0
"U07.1, U07.2, and U07.7  Emergency use of codes U07.1, U07.2 and U07.7",Tas,691.0
U50–Y98  External causes of morbidity and mortality,Tas,0.0
Z00–Z99  Factors influencing health status and contact with health services,Tas,14475.0
Not stated/invalid,Tas,72.0
A00–B99  Certain infectious and parasitic diseases,ACT,8178.0
C00–D48  Neoplasms,ACT,324.0
D50–D89  Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,ACT,778.0
"E00–E90  Endocrine, nutritional and metabolic diseases",ACT,1661.0
F00–F99  Mental and behavioural disorders,ACT,5392.0
G00–G99  Diseases of the nervous system,ACT,1961.0
H00–H59  Diseases of the eye and adnexa,ACT,2156.0
H60–H95  Diseases of the ear and mastoid process,ACT,1418.0
I00–I99  Diseases of the circulatory system,ACT,6126.0
J00–J99  Diseases of the respiratory system,ACT,11964.0
K00–K93  Diseases of the digestive system,ACT,9319.0
L00–L99  Diseases of the skin and subcutaneous tissue,ACT,5078.0
M00–M99  Diseases of the musculoskeletal system and connective tissue,ACT,11670.0
