principal_diagnosis,state,value
B34  Viral infection of unspecified site,Tas,2432.0
"M79  Other soft tissue disorders, not elsewhere classified",Tas,1482.0
R06  Abnormalities of breathing,Tas,1279.0
A09  Other gastroenteritis and colitis of infectious and unspecified origin,Tas,1599.0
S61  Open wound of wrist and hand,Tas,2571.0
S09  Other and unspecified injuries of head,Tas,999.0
N39  Other disorders of urinary system,Tas,2197.0
R11  Nausea and vomiting,Tas,1881.0
"M25  Other joint disorders, not elsewhere classified",Tas,460.0
R55  Syncope and collapse,Tas,2374.0
R45  Symptoms and signs involving emotional state,Tas,1724.0
S01  Open wound of head,Tas,1636.0
J06  Acute upper respiratory infections of multiple and unspecified sites,Tas,1919.0
"J18  Pneumonia, organism unspecified",Tas,1233.0
Other,Tas,125512.0
Missing/Not reported,Tas,72.0
R10  Abdominal and pelvic pain,ACT,10123.0
R07  Pain in throat and chest,ACT,9184.0
R69  Unknown and unspecified causes of morbidity,ACT,1176.0
T14  Injury of unspecified body region,ACT,1276.0
M54  Dorsalgia,ACT,4040.0
L03  Cellulitis,ACT,2156.0
B34  Viral infection of unspecified site,ACT,2800.0
"M79  Other soft tissue disorders, not elsewhere classified",ACT,1397.0
R06  Abnormalities of breathing,ACT,2180.0
A09  Other gastroenteritis and colitis of infectious and unspecified origin,ACT,3105.0
S61  Open wound of wrist and hand,ACT,1876.0
S09  Other and unspecified injuries of head,ACT,4517.0
N39  Other disorders of urinary system,ACT,1947.0
R11  Nausea and vomiting,ACT,2447.0
"M25  Other joint disorders, not elsewhere classified",ACT,4592.0
R55  Syncope and collapse,ACT,1719.0
R45  Symptoms and signs involving emotional state,ACT,2305.0
S01  Open wound of head,ACT,1585.0
J06  Acute upper respiratory infections of multiple and unspecified sites,ACT,1506.0
"J18  Pneumonia, organism unspecified",ACT,2624.0
Other,ACT,101059.0
Missing/Not reported,ACT,3989.0
R10  Abdominal and pelvic pain,NT,6518.0
R07  Pain in throat and chest,NT,7794.0
R69  Unknown and unspecified causes of morbidity,NT,396.0
T14  Injury of unspecified body region,NT,2373.0
M54  Dorsalgia,NT,2914.0
L03  Cellulitis,NT,5689.0
B34  Viral infection of unspecified site,NT,2802.0
"M79  Other soft tissue disorders, not elsewhere classified",NT,681.0
R06  Abnormalities of breathing,NT,1629.0
A09  Other gastroenteritis and colitis of infectious and unspecified origin,NT,988.0
S61  Open wound of wrist and hand,NT,1747.0
S09  Other and unspecified injuries of head,NT,1486.0
N39  Other disorders of urinary system,NT,1979.0
R11  Nausea and vomiting,NT,1548.0
"M25  Other joint disorders, not elsewhere classified",NT,6346.0
R55  Syncope and collapse,NT,1092.0
R45  Symptoms and signs involving emotional state,NT,1250.0
S01  Open wound of head,NT,2373.0
J06  Acute upper respiratory infections of multiple and unspecified sites,NT,2424.0
"J18  Pneumonia, organism unspecified",NT,863.0
Other,NT,118462.0
Missing/Not reported,NT,16763.0
